Year,OSHPD ID,Count
2009,371394,46885
2009,374024,23847
2009,374049,3626
2009,374055,67977
2009,374084,7842
2009,374094,20533
2009,380842,149862
2009,380857,62865
2009,380865,379118
2009,380868,6032
2009,380929,176826
2009,380939,150103
2009,380960,36954
2009,380964,45460
2009,380965,42369
2009,381154,193097
2009,382715,10870
2009,390846,53687
2009,390923,42205
2009,391010,43079
2009,391042,88316
2009,391056,18484
2009,392232,8907
2009,392287,18428
2009,394003,14806
2009,394009,43722
2009,400466,12218
2009,400480,18089
2009,400524,32445
2009,400548,26277
2009,404046,3203
2009,410782,122702
2009,410804,35429
2009,410806,24389
2009,410817,77539
2009,410828,30432
2009,410852,89374
2009,410891,36828
2009,414018,630
2009,420483,5443
2009,420491,14230
2009,420493,66967
2009,420514,94145
2009,420522,893
2009,424002,5435
2009,430705,58424
2009,430743,3324
2009,430763,94511
2009,430779,97348
2009,430837,69093
2009,430883,133401
2009,430905,134811
2009,431506,55375
2009,434040,89405
2009,434051,5913
2009,434138,14061
2009,434153,97837
2009,440755,66270
2009,444012,7033
2009,444013,26127
2009,450936,3067
2009,450940,18336
2009,450949,59715
2009,454012,23500
2009,454013,710
2009,470871,8613
2009,474007,5459
2009,480989,76403
2009,481015,19388
2009,481094,20659
2009,481357,25447
2009,484001,12258
2009,484028,4159
2009,484044,2698
2009,490919,25328
2009,490964,3764
2009,491001,11160
2009,491064,60856
2009,491076,13215
2009,491338,5054
2009,494019,35104
2009,500852,114100
2009,500867,87349
2009,500939,103385
2009,500954,18339
2009,500967,34060
2009,504038,2525
2009,510882,27249
2009,514001,2926
2009,514030,527
2009,514033,4257
2009,514037,2123
2009,521041,10947
2009,531059,2130
2009,540734,131147
2009,540798,40327
2009,540816,22488
2009,551061,6055
2009,554011,38554
2009,560203,24221
2009,560473,55208
2009,560481,57891
2009,560492,80911
2009,560501,20557
2009,560508,27890
2009,560525,31802
2009,560529,62933
2009,560838,6632
2009,564121,1750
2009,571086,17591
2009,574010,11686
2009,580996,35130
2010,10735,20175
2010,10739,101485
2010,10776,53974
2010,10782,11127
2010,10805,43584
2010,10844,40107
2010,10846,157358
2010,10856,90697
2010,10858,60132
2010,10887,19676
2010,10937,75831
2010,10967,44026
2010,10987,66417
2010,13619,17485
2010,13687,6690
2010,14034,31474
2010,14050,47245
2010,14207,7856
2010,14226,3324
2010,34002,8253
2010,40802,3832
2010,40875,22458
2010,40937,38349
2010,40962,72504
2010,44006,5064
2010,50932,5178
2010,60870,5126
2010,70904,32137
2010,70924,44368
2010,70934,32222
2010,70988,90774
2010,70990,70787
2010,71018,45369
2010,74017,21461
2010,74039,17648
2010,74097,31327
