Year,OSHPD ID,Admission_Type,Count
2009,190552,Unscheduled,333
2009,190555,Scheduled,13653
2009,190555,Unscheduled,35135
2009,190555,"Infant, under 24 hrs old",6874
2009,190555,Unknown,6
2009,190568,Scheduled,3144
2009,190568,Unscheduled,14120
2009,190568,"Infant, under 24 hrs old",2695
2009,190568,Unknown,2
2009,190570,Scheduled,129
2009,190570,Unscheduled,2577
2009,190587,Scheduled,1930
2009,190587,Unscheduled,5117
2009,190587,"Infant, under 24 hrs old",985
2009,190630,Scheduled,4845
2009,190630,Unscheduled,16725
2009,190630,"Infant, under 24 hrs old",6989
2009,190630,Unknown,16
2009,190631,Scheduled,3162
2009,190631,Unscheduled,13877
2009,190631,"Infant, under 24 hrs old",2957
2009,190631,Unknown,1
2009,190636,Scheduled,2704
2009,190636,Unscheduled,12722
2009,190636,"Infant, under 24 hrs old",4900
2009,190636,Unknown,9
2009,190646,Scheduled,61
2009,190646,Unscheduled,2257
2009,190661,Scheduled,21
2009,190661,Unscheduled,2160
2009,190673,Scheduled,791
2009,190673,Unscheduled,3798
2009,190673,"Infant, under 24 hrs old",468
2009,190680,Scheduled,1102
2009,190680,Unscheduled,6285
2009,190680,"Infant, under 24 hrs old",806
2009,190680,Unknown,114
2009,190681,Scheduled,243
2009,190687,Scheduled,2400
2009,190687,Unscheduled,12431
2009,190687,"Infant, under 24 hrs old",1534
2009,190696,Unscheduled,4590
2009,190696,"Infant, under 24 hrs old",907
2009,190696,Unknown,1
2009,190708,Scheduled,295
2009,190708,Unscheduled,4182
2009,190712,Scheduled,1486
2009,190712,Unscheduled,5
2009,190754,Scheduled,2631
2009,190754,Unscheduled,18141
2009,190754,"Infant, under 24 hrs old",6492
2009,190754,Unknown,2
2009,190756,Scheduled,5486
2009,190756,Unscheduled,8764
2009,190756,"Infant, under 24 hrs old",1786
2009,190756,Unknown,56
2009,190758,Scheduled,4836
2009,190758,Unscheduled,11883
2009,190758,"Infant, under 24 hrs old",2889
2009,190758,Unknown,767
