Year,OSHPD ID,Age Groups,Count
2009,150736,20-29,3490
2009,150736,30-39,2063
2009,150736,40-49,1441
2009,150736,50-59,1410
2009,150736,60-69,619
2009,150736,70-79,201
2009,150736,80+,126
2009,150737,19-Oct,7
2009,150737,20-29,9
2009,150737,30-39,19
2009,150737,40-49,58
2009,150737,50-59,136
2009,150737,60-69,167
2009,150737,70-79,190
2009,150737,80+,345
2009,150761,Under 1,2545
2009,150761,9-Jan,21
2009,150761,19-Oct,474
2009,150761,20-29,2172
2009,150761,30-39,2159
2009,150761,40-49,1824
2009,150761,50-59,1781
2009,150761,60-69,1490
2009,150761,70-79,1177
2009,150761,80+,1240
2009,150775,9-Jan,22
2009,150775,19-Oct,596
2009,150775,20-29,363
2009,150775,30-39,548
2009,150775,40-49,782
2009,150775,50-59,773
2009,150775,60-69,372
2009,150775,70-79,150
2009,150775,80+,108
2009,150782,Under 1,454
2009,150782,9-Jan,117
2009,150782,19-Oct,147
2009,150782,20-29,525
2009,150782,30-39,250
2009,150782,40-49,252
2009,150782,50-59,366
2009,150782,60-69,380
2009,150782,70-79,381
2009,150782,80+,374
2009,150788,Under 1,2654
2009,150788,9-Jan,149
2009,150788,19-Oct,594
2009,150788,20-29,2418
2009,150788,30-39,1952
2009,150788,40-49,2357
2009,150788,50-59,2821
2009,150788,60-69,2528
2009,150788,70-79,2259
2009,150788,80+,1801
2009,150808,Under 1,8
2009,150808,9-Jan,12
2009,150808,19-Oct,12
2009,150808,20-29,7
2009,150808,30-39,13
2009,150808,40-49,38
2009,150808,50-59,36
2009,150808,60-69,28
2009,150808,70-79,16
2009,150808,80+,56
2009,154022,19-Oct,5
2009,154022,20-29,22
2009,154022,30-39,33
2009,154022,40-49,102
2009,154022,50-59,193
2009,154022,60-69,364
2009,154022,70-79,397
2009,154022,80+,362
2009,154101,19-Oct,12
2009,154101,20-29,41
2009,154101,30-39,147
2009,154101,40-49,296
2009,154101,50-59,541
2009,154101,60-69,896
2009,154101,70-79,989
2009,154101,80+,901
2009,154147,19-Oct,32
2009,154147,20-29,219
2009,154147,30-39,140
2009,154147,40-49,139
2009,154147,50-59,58
2009,154147,60-69,6
2009,160702,9-Jan,2
2009,160702,19-Oct,17
2009,160702,20-29,37
2009,160702,30-39,36
2009,160702,40-49,63
2009,160702,50-59,57
2009,160702,60-69,44
2009,160702,70-79,44
2009,160702,80+,39
2009,160725,Under 1,1283
2009,160725,9-Jan,103
2009,160725,19-Oct,435
2009,160725,20-29,1227
2009,160725,30-39,1085
2009,160725,40-49,1118
2009,160725,50-59,1272
2009,160725,60-69,1424
2009,160725,70-79,1306
2009,160725,80+,1397
2009,160787,Under 1,2099
2009,160787,9-Jan,35
2009,160787,19-Oct,412
2009,160787,20-29,1583
2009,160787,30-39,791
2009,160787,40-49,392
2009,160787,50-59,342
2009,160787,60-69,256
2009,160787,70-79,203
2009,160787,80+,208
2009,171049,Under 1,216
2009,171049,9-Jan,35
2009,171049,19-Oct,71
2009,171049,20-29,204
2009,171049,30-39,130
2009,171049,40-49,220
2009,171049,50-59,277
2009,171049,60-69,261
2009,171049,70-79,213
2009,171049,80+,297
2009,171395,Under 1,351
2009,171395,9-Jan,6
2009,171395,19-Oct,81
2009,171395,20-29,275
2009,171395,30-39,175
2009,171395,40-49,166
2009,171395,50-59,320
2009,171395,60-69,364
2009,171395,70-79,402
2009,171395,80+,429
2009,184008,Under 1,354
2009,184008,9-Jan,58
